,month,carrier_id,carrier_name,total_fuel_cost,year
80,12,DL,Delta Air Lines Inc.,656222391.0,2013
81,12,NK,Spirit Air Lines,44027428.0,2013
82,12,UA,United Air Lines Inc.,574820597.0,2013
83,12,WN,Southwest Airlines Co.,350892224.0,2013
735,1,AA,American Airlines Inc.,351121741.0,2014
736,1,AS,Alaska Airlines Inc.,67948243.0,2014
737,1,B6,JetBlue Airways,110873045.0,2014
738,1,DL,Delta Air Lines Inc.,644186514.0,2014
739,1,NK,Spirit Air Lines,38303790.0,2014
740,1,UA,United Air Lines Inc.,448829702.0,2014
741,1,WN,Southwest Airlines Co.,279129033.0,2014
742,2,AA,American Airlines Inc.,309871178.0,2014
743,2,AS,Alaska Airlines Inc.,61030688.0,2014
744,2,B6,JetBlue Airways,101212197.0,2014
745,2,DL,Delta Air Lines Inc.,1032522756.0,2014
746,2,NK,Spirit Air Lines,28831121.0,2014
747,2,UA,United Air Lines Inc.,381679345.0,2014
748,2,WN,Southwest Airlines Co.,248082083.0,2014
749,3,AA,American Airlines Inc.,370033171.0,2014
750,3,AS,Alaska Airlines Inc.,75381419.0,2014
751,3,B6,JetBlue Airways,122733998.0,2014
752,3,DL,Delta Air Lines Inc.,747258081.0,2014
753,3,NK,Spirit Air Lines,45290362.0,2014
754,3,UA,United Air Lines Inc.,494298972.0,2014
755,3,WN,Southwest Airlines Co.,306618486.0,2014
756,4,AA,American Airlines Inc.,352802765.0,2014
757,4,AS,Alaska Airlines Inc.,70494201.0,2014
758,4,B6,JetBlue Airways,115638233.0,2014
759,4,DL,Delta Air Lines Inc.,688094075.0,2014
760,4,NK,Spirit Air Lines,36494638.0,2014
761,4,UA,United Air Lines Inc.,459085674.0,2014
762,4,WN,Southwest Airlines Co.,294667617.0,2014
763,5,AA,American Airlines Inc.,397241638.0,2014
764,5,AS,Alaska Airlines Inc.,82267732.0,2014
765,5,B6,JetBlue Airways,127249027.0,2014
766,5,DL,Delta Air Lines Inc.,726936793.0,2014
767,5,NK,Spirit Air Lines,47928866.0,2014
768,5,UA,United Air Lines Inc.,541121316.0,2014
769,5,WN,Southwest Airlines Co.,329765173.0,2014
770,6,AA,American Airlines Inc.,399212661.0,2014
771,6,AS,Alaska Airlines Inc.,81707294.0,2014
772,6,B6,JetBlue Airways,128457811.0,2014
773,6,DL,Delta Air Lines Inc.,762448424.0,2014
774,6,NK,Spirit Air Lines,43090936.0,2014
775,6,UA,United Air Lines Inc.,555256568.0,2014
776,6,WN,Southwest Airlines Co.,333037370.0,2014
777,7,AA,American Airlines Inc.,580459082.0,2014
778,7,AS,Alaska Airlines Inc.,78346872.0,2014
779,7,B6,JetBlue Airways,128507248.0,2014
780,7,DL,Delta Air Lines Inc.,639035410.0,2014
781,7,NK,Spirit Air Lines,42299858.0,2014
782,7,UA,United Air Lines Inc.,539559041.0,2014
783,7,WN,Southwest Airlines Co.,337866884.0,2014
784,8,AA,American Airlines Inc.,518931892.0,2014
785,8,AS,Alaska Airlines Inc.,69336410.0,2014
786,8,B6,JetBlue Airways,117255997.0,2014
787,8,DL,Delta Air Lines Inc.,603720416.0,2014
788,8,NK,Spirit Air Lines,39375326.0,2014
789,8,UA,United Air Lines Inc.,471661958.0,2014
790,8,WN,Southwest Airlines Co.,290411867.0,2014
791,9,AA,American Airlines Inc.,433374647.0,2014
792,9,AS,Alaska Airlines Inc.,58647297.0,2014
793,9,B6,JetBlue Airways,96471232.0,2014
794,9,DL,Delta Air Lines Inc.,476767387.0,2014
795,9,NK,Spirit Air Lines,34217928.0,2014
796,9,UA,United Air Lines Inc.,390817490.0,2014
797,9,WN,Southwest Airlines Co.,261198086.0,2014
798,10,AA,American Airlines Inc.,441559226.0,2014
799,10,AS,Alaska Airlines Inc.,61325553.0,2014
800,10,B6,JetBlue Airways,99007701.0,2014
801,10,DL,Delta Air Lines Inc.,570389917.0,2014
802,10,NK,Spirit Air Lines,35805171.0,2014
803,10,UA,United Air Lines Inc.,406517958.0,2014
804,10,WN,Southwest Airlines Co.,258329294.0,2014
805,11,AA,American Airlines Inc.,401898942.0,2014
806,11,AS,Alaska Airlines Inc.,66193432.0,2014
807,11,B6,JetBlue Airways,99040144.0,2014
808,11,DL,Delta Air Lines Inc.,463784118.0,2014
809,11,NK,Spirit Air Lines,35332577.0,2014
810,11,UA,United Air Lines Inc.,348242016.0,2014
811,11,WN,Southwest Airlines Co.,255917890.0,2014
812,12,AA,American Airlines Inc.,398593043.0,2014
813,12,AS,Alaska Airlines Inc.,57540426.0,2014
814,12,B6,JetBlue Airways,101329622.0,2014
815,12,DL,Delta Air Lines Inc.,489906720.0,2014
816,12,NK,Spirit Air Lines,34077468.0,2014
817,12,UA,United Air Lines Inc.,353805139.0,2014
818,12,WN,Southwest Airlines Co.,239548811.0,2014
567,1,AA,American Airlines Inc.,601818028.0,2015
568,1,AS,Alaska Airlines Inc.,98752232.0,2015
569,1,B6,JetBlue Airways,137009077.0,2015
570,1,DL,Delta Air Lines Inc.,746745421.0,2015
571,1,NK,Spirit Air Lines,32735968.0,2015
572,1,UA,United Air Lines Inc.,798837142.0,2015
573,1,WN,Southwest Airlines Co.,376708594.0,2015
574,2,AA,American Airlines Inc.,590655504.0,2015
575,2,AS,Alaska Airlines Inc.,97538101.0,2015
576,2,B6,JetBlue Airways,136235990.0,2015
577,2,DL,Delta Air Lines Inc.,719404667.0,2015
578,2,NK,Spirit Air Lines,33612181.0,2015
579,2,UA,United Air Lines Inc.,782532463.0,2015
580,2,WN,Southwest Airlines Co.,379849454.0,2015
581,3,AA,American Airlines Inc.,672613189.0,2015
582,3,AS,Alaska Airlines Inc.,115412140.0,2015
583,3,B6,JetBlue Airways,159675895.0,2015
584,3,DL,Delta Air Lines Inc.,858238163.0,2015
585,3,NK,Spirit Air Lines,42376540.0,2015
586,3,UA,United Air Lines Inc.,933220245.0,2015
587,3,WN,Southwest Airlines Co.,424925097.0,2015
588,4,AA,American Airlines Inc.,644782762.0,2015
589,4,AS,Alaska Airlines Inc.,110628335.0,2015
590,4,B6,JetBlue Airways,157717721.0,2015
591,4,DL,Delta Air Lines Inc.,852128242.0,2015
592,4,NK,Spirit Air Lines,41254164.0,2015
593,4,UA,United Air Lines Inc.,889559342.0,2015
594,4,WN,Southwest Airlines Co.,518598656.0,2015
595,5,AA,American Airlines Inc.,661863896.0,2015
596,5,AS,Alaska Airlines Inc.,109544676.0,2015
597,5,B6,JetBlue Airways,149110338.0,2015
598,5,DL,Delta Air Lines Inc.,891445741.0,2015
599,5,NK,Spirit Air Lines,43155922.0,2015
600,5,UA,United Air Lines Inc.,914374867.0,2015
601,5,WN,Southwest Airlines Co.,511678060.0,2015
602,6,AA,American Airlines Inc.,596457479.0,2015
603,6,AS,Alaska Airlines Inc.,103137377.0,2015
604,6,B6,JetBlue Airways,143483378.0,2015
605,6,DL,Delta Air Lines Inc.,946712416.0,2015
606,6,NK,Spirit Air Lines,35823360.0,2015
607,6,UA,United Air Lines Inc.,855369144.0,2015
608,6,WN,Southwest Airlines Co.,489076997.0,2015
609,7,AA,American Airlines Inc.,620273745.0,2015
610,7,AS,Alaska Airlines Inc.,106650019.0,2015
611,7,B6,JetBlue Airways,161014566.0,2015
612,7,DL,Delta Air Lines Inc.,941029597.0,2015
613,7,NK,Spirit Air Lines,39449460.0,2015
614,7,UA,United Air Lines Inc.,863481608.0,2015
615,7,WN,Southwest Airlines Co.,499958210.0,2015
616,8,AA,American Airlines Inc.,627683350.0,2015
617,8,AS,Alaska Airlines Inc.,114822298.0,2015
618,8,B6,JetBlue Airways,171096786.0,2015
619,8,DL,Delta Air Lines Inc.,921945979.0,2015
620,8,NK,Spirit Air Lines,42256865.0,2015
621,8,UA,United Air Lines Inc.,908788163.0,2015
622,8,WN,Southwest Airlines Co.,498996797.0,2015
623,9,AA,American Airlines Inc.,634533970.0,2015
624,9,AS,Alaska Airlines Inc.,108108872.0,2015
625,9,B6,JetBlue Airways,148578358.0,2015
626,9,DL,Delta Air Lines Inc.,759404602.0,2015
627,9,NK,Spirit Air Lines,40281033.0,2015
628,9,UA,United Air Lines Inc.,868453153.0,2015
629,9,WN,Southwest Airlines Co.,475851591.0,2015
630,10,AA,American Airlines Inc.,635105509.0,2015
631,10,AS,Alaska Airlines Inc.,109692886.0,2015
632,10,B6,JetBlue Airways,140509161.0,2015
633,10,DL,Delta Air Lines Inc.,864108715.0,2015
634,10,NK,Spirit Air Lines,39796888.0,2015
635,10,UA,United Air Lines Inc.,852963259.0,2015
636,10,WN,Southwest Airlines Co.,513649576.0,2015
637,11,AA,American Airlines Inc.,594147813.0,2015
638,11,AS,Alaska Airlines Inc.,105407601.0,2015
639,11,B6,JetBlue Airways,145231383.0,2015
640,11,DL,Delta Air Lines Inc.,740087122.0,2015
641,11,NK,Spirit Air Lines,38925361.0,2015
642,11,UA,United Air Lines Inc.,757525169.0,2015
643,11,WN,Southwest Airlines Co.,457439659.0,2015
644,12,AA,American Airlines Inc.,628600531.0,2015
645,12,AS,Alaska Airlines Inc.,108235816.0,2015
646,12,B6,JetBlue Airways,156533830.0,2015
647,12,DL,Delta Air Lines Inc.,782248025.0,2015
648,12,NK,Spirit Air Lines,42066155.0,2015
649,12,UA,United Air Lines Inc.,791441194.0,2015
650,12,WN,Southwest Airlines Co.,480761155.0,2015
147,1,AA,American Airlines Inc.,440888323.0,2016
148,1,AS,Alaska Airlines Inc.,69840329.0,2016
149,1,B6,JetBlue Airways,110137331.0,2016
150,1,DL,Delta Air Lines Inc.,430704972.0,2016
151,1,NK,Spirit Air Lines,46027342.0,2016
152,1,UA,United Air Lines Inc.,412500789.0,2016
153,1,WN,Southwest Airlines Co.,291146135.0,2016
